stitch_id_flat,drug_name
CID105361917,methylnaltrexone
CID100004197,milrinone
CID100004740,pentoxifylline
CID100010100,propoxyphene
CID106102852,gadobutrol
CID100001972,amphotericin
CID100004196,mifepristone
CID102723601,6-thioguanine
CID100003916,levomepromazine
CID100003151,domperidone
CID100051577,miglitol
CID100003394,flurbiprofen
CID100005734,zonisamide
CID100002972,deferiprone
CID100003040,dicloxacillin
CID100004140,methylergometrine
CID100125889,pregabalin
CID100003382,fluocinonide
CID100004091,metformin
CID100065281,cas
CID109854489,fluticasone
CID100003117,disulfiram
CID106918462,retapamulin
CID100004568,nystatin
CID100002021,spectinomycin
CID100002163,amobarbital
CID106323497,rifapentine
CID100000738,glutamine
CID100010631,medroxyprogesterone
CID100003157,doxazosin
CID100002806,clopidogrel
CID100005472,ticlopidine
CID100005719,zaleplon
CID100004159,methylprednisolone
CID100002094,allopurinol
CID100002141,amifostine
CID100004030,mebendazole
CID100002133,amcinonide
CID100057537,rotigotine
CID100004679,pantoprazole
CID100005582,trimetrexate
CID100005311,vorinostat
CID100004138,methyldopa
CID100004120,n-methylscopolamine
CID100004763,phenobarbital
CID100003647,hydroflumethiazide
CID100003928,lincomycin
CID100000159,prostacyclin
CID100003392,flurandrenolone
CID100004845,pirbuterol
CID100002216,apraclonidine
CID100002171,amoxicillin
CID100003948,lomefloxacin
CID100034312,oxcarbazepine
CID100003403,fluvastatin
CID100004649,apas
CID100004631,oxprenolol
CID100001798,methazolamide
CID100003308,etodolac
CID100005530,tranylcypromine
CID100003219,emedastine
CID100004909,primidone
CID100003059,diflunisal
CID100004107,methocarbamol
CID100002522,calcipotriol
CID106333887,auranofin
CID100004139,methylene
CID100148211,palonosetron
CID100002337,benzocaine
CID116132446,symlin
CID100004927,promethazine
CID100003121,valproate
CID100004536,norethisterone
CID100003331,felbamate
CID100004428,naltrexone
CID100000191,adenosine
CID100123620,mometasone
CID100002786,clindamycin
CID100022258,hydrocodone
CID100003737,sodium
CID100002130,amantadine
CID100003825,ketoprofen
CID100004739,pentostatin
CID100005064,ribavirin
CID100023954,silver
CID100004913,procainamide
CID100005029,rabeprazole
CID100003060,epitopic
CID100005625,delavirdine
CID100002891,cyanocobalamin
CID100004425,naloxone
CID100068740,zoledronic
CID100002520,verapamil
CID100134018,febuxostat
CID100004989,pyrantel
CID100003007,amphetamine
CID105381226,rifampicin
CID100005314,succinylcholine
CID100005038,ramipril
CID100163296,tipranavir
CID100002684,cevimeline
CID116130199,enfuvirtide
CID100004775,4-pba
CID100002471,bumetanide
CID100005052,reserpine
CID100065863,sertaconazole
CID100005523,tramadol
CID154687131,lymecycline
CID100000175,acetate
CID100004543,nortriptyline
CID100002576,carisoprodol
CID100006049,edta
CID100003675,phenelzine
CID100219024,regadenoson
CID100002978,delta
CID100003462,gemeprost
CID100054808,loteprednol
CID100040159,permethrin
CID100004811,physostigmine
CID100148121,pralatrexate
CID100071273,ropivacaine
CID100005595,tropisetron
CID100023897,molindone
CID100004456,neostigmine
CID100004607,oxacillin
CID100077993,eletriptan
CID116129704,bivalirudin
CID100005636,unoprostone
CID100004900,prednisone
CID103325225,alx
CID111020241,ascorbate
CID100004095,methadone
CID100005771,oxytocin
CID100062819,metrodin
CID100051634,miglustat
CID100002631,cefotaxime
CID100003008,dextromethorphan
CID100005238,sodium
CID100656628,silodosin
CID100002895,cyclobenzaprine
CID100124087,desloratadine
CID100002118,alprazolam
CID100002547,capreomycin
CID100003379,flunisolide
CID100004493,nilutamide
CID100005210,sibutramine
CID100005206,sevoflurane
CID100041774,acarbose
CID100000888,magnesium
CID100005466,tiagabine
CID100002443,bromocriptine
CID100005505,tolbutamide
CID100004678,dexpanthenol
CID100071329,dofetilide
CID100003393,flurazepam
CID100003938,lisuride
CID140468184,acenocoumarol
CID125074470,triptorelin
CID100004935,proparacaine
CID100153941,entecavir
CID100644241,nilotinib
CID100119828,parecoxib
CID100000085,carnitine
CID100004032,mecamylamine
CID100003687,idurd
CID100003779,isoproterenol
CID100003405,folate
CID100135113,sacrosidase
CID100004264,mupirocin
CID100477468,fk463
CID100047528,nicorandil
CID100036811,dobutamine
CID100005396,teniposide
CID116129703,revasc
CID100002484,butenafine
CID100002663,celiprolol
CID100004158,methylphenidate
CID100002370,bethanechol
CID100004810,moxonidine
CID100005578,trimethoprim
CID100005512,tolterodine
CID109846180,eltrombopag
CID100002159,amisulpride
CID170695640,colestyramine
CID100002719,chloroquine
CID100004906,prilocaine
CID100060834,duloxetine
CID100003125,alpha-methyl-p-tyrosine
CID100001990,acetohydroxamic
CID100002441,bromazepam
CID100003373,flumazenil
CID100060814,remifentanil
CID100003449,galantamine
CID100062924,fluticasone
CID100004510,nitroglycerin
CID100170361,varenicline
CID100037392,halofantrine
CID100004497,nimodipine
CID100003512,griseofulvin
CID100054373,octreotide
CID100002637,cefoxitin
CID100000612,lactate
CID100004614,oxaprozin
CID100002767,cisplatin
CID100005496,tobramycin
CID100002656,ceftriaxone
CID100032169,articaine
CID100002666,cephalexin
CID100004623,oxiconazole
CID100037720,pentosan
CID100005071,rimantadine
CID100004463,nevirapine
CID100002082,albendazole
CID100071362,hoe
CID100003038,dichlorphenamide
CID100002907,cyclophosphamide
CID100047471,butoconazole
CID100002442,bromhexine
CID100104741,ici
CID100042113,desflurane
CID100002727,chlorpropamide
CID100000853,thyroxine
CID100002250,atorvastatin
CID100006476,methsuximide
CID100004868,polymyxin
CID100060843,pemetrexed
CID100004436,naphazoline
CID100004211,mitotane
CID100000564,eaca
CID100114709,eslicarbazepine
CID100004976,protriptyline
CID100005394,temozolomide
CID100060754,gadodiamide
CID100003724,iodixanol
CID100005978,vincristine
CID100003780,isosorbide
CID100004168,metoclopramide
CID100003199,trabectedin
CID100005408,testosterone
CID100073658,telithromycin
CID100004114,8-mop
CID100003877,lamivudine
CID100002678,cetirizine
CID100000312,chloride
CID100005077,rivastigmine
CID100005717,zafirlukast
CID100001775,phenytoin
CID100003251,ergotamine
CID106435110,ivermectin
CID100003291,ethosuximide
CID100047320,cisatracurium
CID100003734,iopamidol
CID100020969,clocortolone
CID111163584,alogliptin
CID100005478,timolol
CID100004771,phentermine
CID100016362,pimozide
CID103055172,pimecrolimus
CID100004171,metoprolol
CID100003869,labetalol
CID100060853,ziprasidone
CID100054454,simvastatin
CID100003743,ioxilan
CID100003957,loratadine
CID100002083,salbutamol
CID106433091,tapentadol
CID100004513,nizatidine
CID100005775,phentolamine
CID100002284,baclofen
CID100003998,mafenide
CID100002156,amiodarone
CID116129616,salmon
CID100004509,nitrofurantoin
CID100013342,vinblastine
CID100017358,sonovue
CID100000214,pge1
CID100003878,lamotrigine
CID100168625,poly(styrene
CID100157921,methyl
CID100000861,triiodothyronine
CID100002654,cephem
CID100003964,loxapine
CID100004920,progesterone
CID100122197,fp-cit
CID100004043,medrysone
CID100004756,phenylazo
CID106433101,tafluprost
CID123668479,raltegravir
CID100060184,perindopril
CID100018140,estramustine
CID100003155,dothiepin
CID100003488,glibenclamide
CID100000298,chloramphenicol
CID100030623,dexrazoxane
CID100003443,fusidic
CID100123623,cancidas
CID100123015,su5416
CID100002973,deferoxamine
CID100002712,chlordiazepoxide
CID100002177,amprenavir
CID100004635,oxycodone
CID100000450,estradiol
CID100003672,ibuprofen
CID100129806,rosuvastatin
CID105488383,ofatumumab
CID100005161,salsalate
CID100060871,adefovir
CID100003519,guanfacine
CID100004054,memantine
CID100131535,fosamprenavir
CID103085017,sevelamer
CID100002803,clonidine
CID100031264,paraldehyde
CID100002162,amlodipine
CID100005546,triamterene
CID100001986,acetazolamide
CID100025419,clodronate
CID100003325,famotidine
CID100208902,ramelteon
CID100004060,mephenytoin
CID100002559,carbenicillin
CID100002088,alendronate
CID100074989,atovaquone
CID100004934,propantheline
CID100004121,methyclothiazide
CID100002749,ciclopirox
CID100003250,ergonovine
CID100003042,dicyclomine
CID100004450,nefopam
CID116130295,bpti
CID100004865,podophyllotoxin
CID100002315,bendrofluazide
CID100093860,bortezomib
CID100444006,cefditoren
CID100004601,orphenadrine
CID100005329,sulfamethoxazole
CID116129672,insulin
CID123690938,piroxicam
CID100007029,diethylpropion
CID100002375,bicalutamide
CID100002311,benazepril
CID100004253,morphine
CID100060752,ibutilide
CID100001206,methamphetamine
CID100005076,ritonavir
CID100125017,desvenlafaxine
CID100005454,thiothixene
CID100031072,carbimazole
CID100039042,bezafibrate
CID100002232,argatroban
CID100005352,sulindac
CID100003736,iopromide
CID100003226,enflurane
CID100005453,thiotepa
CID100000942,nicotine
CID100003642,hydrocortisone
CID100002781,clemastine
CID100002187,anastrozole
CID103086257,photofrin
CID100160051,colesevelam
CID100060726,bromfenac
CID100082148,agomelatine
CID100003198,econazole
CID100119182,clofarabine
CID100004112,methotrexate
CID100055466,gd-dtpa
CID100006238,17-hydroxyprogesterone
CID100123611,fondaparinux
CID100003381,fluocinolone
CID100003553,halcinonide
CID104479097,hydroxocobalamin
CID100003397,flutamide
CID100002548,capsaicin
CID100002369,betaxolol
CID116129632,nuvocid
CID100483407,maraviroc
CID100005645,udca
CID100005486,tirofiban
CID100001054,pyridoxine
CID100003657,hydroxyurea
CID116129665,vitrum
CID100002512,cabergoline
CID100004235,moclobemide
CID100005430,thiabendazole
CID100003899,leflunomide
CID103086686,sunitinib
CID100003417,fosfomycin
CID100000338,salicylate
CID100005564,triclosan
CID100216237,tolvaptan
CID100154058,solifenacin
CID100216235,sitaxsentan
CID100003937,lisinopril
CID100004737,pentobarbital
CID100193962,etravirine
CID100060787,saquinavir
CID100000785,quinol
CID100002676,cerivastatin
CID100003100,diphenhydramine
CID102761171,ethionamide
CID100060936,tiludronate
CID100119830,tenofovir
CID100004454,neomycin
CID100002564,carbinoxamine
CID100005372,tacrolimus
CID100005479,tinidazole
CID100003339,fenofibrate
CID100005267,spironolactone
CID100005566,trifluoperazine
CID100012555,benzydamine
CID100004908,primaquine
CID100104799,fotemustine
CID100009433,aminophylline
CID100000311,citric
CID100002391,bisacodyl
CID100003425,romidepsin
CID100003152,donepezil
CID100121396,n-carbamylglutamate
CID125074886,cetrorelix
CID100002756,cimetidine
CID100002307,beclomethasone
CID116156130,exenatide
CID100022318,gold
CID100005090,rofecoxib
CID100002713,chlorhexidine
CID100003375,flumethasone
CID100123597,travoprost
CID105001396,warfarin
CID100071406,tpgs
CID100213039,darunavir
CID100148191,temsirolimus
CID100050294,nedocromil
CID100004616,oxazepam
CID100003739,iodipamide
CID100000937,niacin
CID100004272,mycophenolic
CID100002583,carteolol
CID100104849,rimonabant
CID100002662,celecoxib
CID100000303,bile
CID100004599,orlistat
CID100000951,norepinephrine
CID100002762,cinoxacin
CID104630253,alclometasone
CID100004609,oxaliplatin
CID100059708,levetiracetam
CID100060612,dexmedetomidine
CID100004421,nalidixic
CID100003324,famciclovir
CID100068844,brinzolamide
CID100041781,torasemide
CID100003000,desoximetasone
CID100000596,cytarabine
CID100150310,eplerenone
CID116129617,cosyntropin
CID100004075,5-asa
CID116132438,humalog
CID100003706,indinavir
CID100003009,dfmo
CID100000774,histamine
CID100005508,tolmetin
CID100016230,amiloride
CID125077405,nafarelin
CID100003742,ioxaglate
CID100004212,mitoxantrone
CID125077993,histrelin
CID100005576,trimethadione
CID100000727,lindane
CID100060877,emtricitabine
CID100072081,terlipressin
CID100002771,citalopram
CID105362420,verteporfin
CID105493381,deferasirox
CID100004542,levonorgestrel
CID125880656,doxycycline
CID103062316,dasatinib
CID100041744,valrubicin
CID100004932,propafenone
CID100002610,cefadroxil
CID100005538,retinoic
CID106918182,strontium
CID100002622,cefepime
CID100005718,zalcitabine
CID100667490,6-mercaptopurine
CID100002554,carbamazepine
CID100059768,esmolol
CID100104758,raltitrexed
CID100121749,ustekinumab
CID100002267,azelastine
CID100003003,dexamethasone
CID100060695,rocuronium
CID100002215,apomorphine
CID100004031,mebeverine
CID100004011,maprotiline
CID100115355,ntbc
CID100004991,pyridostigmine
CID100148192,atazanavir
CID100005515,topotecan
CID100002344,benztropine
CID100001084,thiosulfate
CID100002551,carbachol
CID100003915,levocabastine
CID144567678,dalbavancin
CID100002826,cocaine
CID106918584,sugammadex
CID100005468,tiaprofenic
CID111947681,nitroprusside
CID105361912,rifabutin
CID100000187,acetylcholine
CID100216209,aliskiren
CID100000772,lmwh
CID100004160,methyltestosterone
CID100005419,tetrahydrozoline
CID100003148,dolasetron
CID100003380,flunitrazepam
CID100110634,vardenafil
CID100004911,probenecid
CID100005253,sotalol
CID100062959,trovafloxacin
CID106445540,ixabepilone
CID100065014,amd3100
CID100003182,dyphylline
CID100005155,stavudine
CID100003366,5-fluorocytosine
CID100003961,losartan
CID100002550,captopril
CID100156418,cinacalcet
CID100032281,protirelin
CID100005379,gatifloxacin
CID106850789,iron
CID100004786,phenylpropanolamine
CID104517618,sodium
CID100004451,nelfinavir
CID100054313,iloprost
CID100005731,zolmitriptan
CID100002541,candesartan
CID100002524,"1,25(oh)2d3"
CID100071301,nebivolol
CID100003636,buscopan
CID100096312,nelarabine
CID106433119,rivaroxaban
CID100005470,tibolone
CID100027993,conjugated
CID100003640,cortisol
CID100004195,midodrine
CID100003446,gabapentin
CID100002732,chlorthalidone
CID100002366,betahistine
CID105362070,balsalazide
CID100005106,roxithromycin
CID100002519,caffeine
CID100016850,fluorescein
CID116213095,pentastarch
CID100002789,clobazam
CID100005152,salmeterol
CID100071348,lanreotide
CID100060164,adapalene
CID100003292,ethotoin
CID100003354,flavoxate
CID103081362,telavancin
CID100003902,letrozole
CID100002351,bepridil
CID100002725,chlorpheniramine
CID100002802,clonazepam
CID100004086,metaproterenol
CID100060146,tamsulosin
CID100003105,dipivefrin
CID100003962,lovastatin
CID100145068,nitric
CID100123631,gefitinib
CID110113978,pazopanib
CID100127909,bimatoprost
CID100001071,retinol
CID100002431,bretylium
CID100005359,suprofen
CID100003914,levobunolol
CID100150610,ertapenem
CID100130881,olmesartan
CID100009904,nandrolone
CID100060852,ibandronate
CID111235728,saxagliptin
CID100002955,dapsone
CID100005381,tazarotene
CID100000119,gamma-aminobutyric
CID100119607,valdecoxib
CID100213023,dabigatran
CID100002123,hexamethylmelamine
CID100005257,sparfloxacin
CID105462337,olsalazine
CID100123610,eptifibatide
CID100003793,itraconazole
CID126275995,minocycline
CID100044564,lodoxamide
CID100004594,omeprazole
CID100003222,cas
CID100444013,gadoversetamide
CID100004101,methenamine
CID100004499,nisoldipine
CID100056338,fosphenytoin
CID100002269,azithromycin
CID100005591,troglitazone
CID100003019,diazoxide
CID100004236,modafinil
CID100005095,ropinirole
CID100005514,topiramate
CID100003741,ioversol
CID100054840,atomoxetine
CID100005483,tiopronin
CID105251896,vildagliptin
CID100003032,diclofenac
CID100052421,prednicarbate
CID100151075,nepafenac
CID100005525,trandolapril
CID100003406,4-methylpyrazole
CID100005404,terconazole
CID100003950,lomustine
CID106918558,fesoterodine
CID100005727,zncl2
CID100003676,lidocaine
CID100003156,doxapram
CID100012620,tadenan
CID100005297,streptomycin
CID100005320,sulfacetamide
CID100003310,etoposide
CID100003746,ipratropium
CID100003783,isoxsuprine
CID100002995,desipramine
CID116136245,degarelix
CID100219084,gd-eob-dtpa
CID100004248,montelukast
CID100003639,hydrochlorothiazide
CID100004547,repaglinide
CID100005376,tamoxifen
CID153477714,heparin
CID116132441,refludan
CID100041317,acitretin
CID100003516,guaifenesin
CID100004828,pindolol
CID100005214,silver
CID100000598,mesna
CID116137271,insulin
CID100005401,terazosin
CID100150311,ezetimibe
CID100004914,procaine
CID100004829,pioglitazone
CID100005544,triamcinolone
CID100004923,proguanil
CID100040973,desogestrel
CID100002142,amikacin
CID100003066,dihydroergotamine
CID100005647,vacv
CID100060198,exemestane
CID100002609,cefaclor
CID100004666,paclitaxel
CID100000753,glycerol
CID100004745,pergolide
CID100002658,cefuroxime
CID100005452,thioridazine
CID100015232,benzathine
CID105479141,cgp
CID105353894,pralidoxime
CID100004440,naratriptan
CID100009034,methohexital
CID100082146,bexarotene
CID100002168,amorolfine
CID100004889,pravastatin
CID100003062,digoxin
CID100012536,desonide
CID100062816,colestipol
CID100004915,procarbazine
CID100005584,trimipramine
CID100004184,mianserin
CID100072938,gemifloxacin
CID100004812,vitamin
CID100060867,levosimendan
CID156603655,pegaptanib
CID100002818,clozapine
CID100003830,cytokinin
CID100040703,pinaverium
CID100065628,bendamustine
CID100003883,lansoprazole
CID100025959,prussian
CID105353980,sulfasalazine
CID100002949,danazol
CID100000158,pge2
CID100027661,isosorbide-5-mononitrate
CID100005391,temazepam
CID100004189,miconazole
CID100132999,ivabradine
CID100005184,scopolamine
CID100010413,hydroxybutyrate
CID100154256,bazedoxifene
CID100004768,phenoxybenzamine
CID100219078,lacosamide
CID100006503,tris
CID151508717,tenoxicam
CID100005556,triazolam
CID100002173,ampicillin
CID100042615,supremon
CID100003929,linezolid
CID100004539,norfloxacin
CID100123619,etoricoxib
CID100032797,clobetasol
CID100002800,clomiphene
CID100002462,budesonide
CID100000838,epinephrine
CID104479094,doxercalciferol
CID100003015,cyproterone
CID100003750,irinotecan
CID100003340,fenoldopam
CID100004004,malathion
CID100003827,ketotifen
CID100005032,ephedrine
CID100005403,terbutaline
CID100004634,oxybutynin
CID100001971,abacavir
CID100000271,calcium
CID100004473,nicardipine
CID100003759,isocarboxazid
CID100002733,chlorzoxazone
CID100024087,selenium
CID100002913,cyproheptadine
CID100039764,vecuronium
CID100071158,acamprosate
CID100003510,granisetron
CID100006018,tetrabenazine
CID100003364,flucloxacillin
CID104474778,2-hydroxysuccinaldehyde
CID100004170,metolazone
CID100051263,alfentanil
CID100003241,epinastine
CID100449193,roflumilast
CID100002801,clomipramine
CID100002617,cefazolin
CID100007638,monobenzone
CID100003911,leuprorelin
CID100005665,vigabatrin
CID100004893,prazosin
CID104659568,entacapone
CID105281007,dacarbazine
CID100002812,clotrimazole
CID100000750,glycine
CID100031378,fludrocortisone
CID100004585,olanzapine
CID125880664,tetracycline
CID100002160,amitriptyline
CID100077996,paricalcitol
CID100004891,praziquantel
CID100031477,metipranolol
CID100003063,dihydrocodeine
CID100000247,betaine
CID100003404,fluvoxamine
CID100005070,riluzole
CID100003821,ketamine
CID100002650,ceftazidime
CID100060613,cidofovir
CID100000401,d-cycloserine
CID100005402,terbinafine
CID100057469,imiquimod
CID100004885,pramipexole
CID116134956,liraglutide
CID100005572,trihexyphenidyl
CID100152945,dutasteride
CID100002751,cilazapril
CID100197712,ambrisentan
CID100005650,valsartan
CID100004595,ondansetron
CID116131215,abarelix
CID100004259,moxifloxacin
CID100060864,olopatadine
CID100014888,arsenic
CID100003143,docetaxel
CID100000444,bupropion
CID100004178,mexiletine
CID100003278,ethacrynic
CID100151165,aprepitant
CID100003784,isradipine
CID100042955,misoprostol
CID100003598,hexachlorophene
CID100027991,desmopressin
CID100002435,brimonidine
CID100065856,reboxetine
CID100002148,p-aminohippurate
CID100003463,gemfibrozil
CID100004201,minoxidil
CID100002349,penicillin
CID106398970,cefdinir
CID122834577,nesiritide
CID100060878,eprosartan
